"Restaurant.Name","Business.Address","GRADE","Postcode","Latitude","Longitude","CUISINE.DESCRIPTION","categories"
"Warique","90-04  37 ave , Queens, NY","A",11372,40.750539,-73.87671,"Spanish","European"
"Prince Laban&Chinese restaurent","3756 74 street, Queens, NY","Z",11372,40.74763,-73.891596,"Indian","Asian"
"Philly Pretzel Factory","131 5th Ave, Brooklyn, NY","A",11217,40.678651,-73.978934,"Hotdogs/Pretzels","Fast_food"
"About Coffee","71 SULLIVAN STREET, Manhattan, NY","A",10012,40.724625,-74.003889,"Mediterranean","European"
"NEW CHOI FOOK RESTAURANT","2050  86th Street, Brooklyn, NY","Z",11214,40.603896,-73.99709,"Seafood","Seafood"
"Seasoned Vegan","55 St. Nicholas Avenue, Manhattan, NY","A",10026,40.8005,-73.952507,"Vegetarian","Vegetarian"
"Le Pain Quotidien GCW","16 East 44th St., Manhattan, NY","N",10017,40.754434,-73.979138,"American","Americas"
"35-09 Ditmars Bagel Corp","35-09 Ditmars Blvd, Queens, NY","A",11105,40.774763,-73.908748,"Bagels/Pretzels","Dessert"
"LOS CAFETALES RESTAURANT CORP","78-17 ROOSEVELT AVE, Queens, NY","A",11372,40.747278,-73.887402,"Spanish","European"
"Il Bel Paese Pizzeria & Trattoria","305 Knickerbocker Avenue , Brooklyn, NY","A",11237,40.701684,-73.923383,"Pizza/Italian","Fast_food"
"Desi Galli","172 Avenue B, Manhattan, NY","B",10009,40.72733,-73.979583,"Indian","Asian"
"PICASSO PIZZERIA","303 SOUTH END AVENUE, Manhattan, NY","A",10280,40.710255,-74.016325,"Mexican","Americas"
"LA PULPERIA 44","623 9TH AVE, Manhattan, NY","C",10036,40.759829,-73.991626,"Italian","European"
"LOS CAFETALES RESTAURANT CORP","78-17 ROOSEVELT AVE, Queens, NY","A",11372,40.747278,-73.887402,"Spanish","European"
"ICE CREAM HOUSE","1725 AVENUE M, Brooklyn, NY","A",11230,40.61826,-73.957842,"Ice Cream, Gelato, Yogurt, Ices","Dessert"
"Starbucks Coffee","605 Third Ave, Manhattan, NY","A",10158,40.749076,-73.975682,"Asian","Asian"
"FRIENDSHIP FOODS ONE INC","103 BOWERY, Manhattan, NY","B",10002,40.717659,-73.995217,"Asian","Asian"
"Le Pain Quotidien Soho","100 Grand Street , Manhattan, NY","A",10013,40.721389,-74.00171,"Sandwiches","Fast_food"
"Atlas Cafe","73 2nd ave, Manhattan, NY","A",10003,40.726384,-73.989295,"American","Americas"
"El Nuevo Carribeno","1675 Lexington Avenue , Manhattan, NY","B",10029,40.79167,-73.946688,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Le Pain Quotidien Lincoln Sq","60 W 65th St, Manhattan, NY","A",10023,40.772468,-73.980851,"American","Americas"
"GYRO KING","50 EAST FORDHAM RD., Bronx, NY","A",10468,40.862447,-73.90024,"Greek","European"
"The Tasty Waffle Company","227 Malcolm X Boulevard, Brooklyn, NY","A",11221,40.685181,-73.929491,"American","Americas"
"LA PULPERIA 44","623  9TH AVE, Manhattan, NY","C",10036,40.759829,-73.991626,"Italian","European"
"Blendzville Cafe Inc","5 Sutter ave, Brooklyn, NY","A",11212,40.665274,-73.922905,"Juice, Smoothies, Fruit Salads","Dessert"
"kosher Hut of Brooklyn","709 Kings Highway, Brooklyn, NY","A",11223,40.606205,-73.965438,"Jewish/Kosher","European"
"BLUE CITY LOUNGE CORP.","10711 NORTHERN BLVD, Queens, NY","B",11368,40.757809,-73.861702,"Spanish","European"
"Absurd Conclave","360 Jefferson st., Brooklyn, NY","A",11237,40.705764,-73.924821,"Juice, Smoothies, Fruit Salads","Dessert"
"Upi Jaya","7604  Woodside Ave, Queens, NY","A",11373,40.74342,-73.888712,"Indonesian","Asian"
"Annie Mooreï¿½s","22 East 41st st, Manhattan, NY","A",10017,40.752343,-73.980275,"American","Americas"
"MARIA ON THE GRILL INC","2678 PITKIN AVENUE, Brooklyn, NY","N",11208,40.67521,-73.873208,"Spanish","European"
"Kitsby Dessert Bar","186 Grand Street, Brooklyn, NY","A",11211,40.714271,-73.96075,"Café/Coffee/Tea","Dessert"
"SPICE UP","1926D CROSS BRONX EXPY, Bronx, NY","A",10472,40.832647,-73.859433,"Bakery","Dessert"
"Marco Polo Pizza & Deli","1289 Madison Avenue, Manhattan, NY","A",10128,40.784485,-73.956155,"Delicatessen","Others"
"Tel Aviv Cafe","1911    CONEY ISLAND AVE, Brooklyn, NY","A",11230,40.610876,-73.962532,"Middle Eastern","Asian"
"Healthy Joe's","10 Murray street, Manhattan, NY","A",10007,40.713298,-74.007773,"Pizza","Fast_food"
"Sweet Moment","106 Mott Street, Manhattan, NY","A",10013,40.717481,-73.997338,"Café/Coffee/Tea","Dessert"
"PICK A BAGEL","1475 Second Avenue , Manhattan, NY","A",10075,40.771832,-73.956167,"Bakery","Dessert"
"Zucker's Bagels Flatiron","40 East 23rd street, Manhattan, NY","A",10010,40.740646,-73.987474,"Bagels/Pretzels","Dessert"
"Talia's Restaurant Group LLC","668 Amsterdam Avenue, Manhattan, NY","A",10025,40.79186,-73.971979,"Jewish/Kosher","European"
"GYRO KING","50 EAST FORDHAM RD, Bronx, NY","A",10468,40.862447,-73.90024,"Greek","European"
"KARIZMA LOUNGE CORP","244 EAST 51 STREET, Manhattan, NY","A",10002,40.756005,-73.969276,"Middle Eastern","Asian"
